CODCIUDAD,CIUDAD,CODMUNICIPIO,MUNICIPIO,CODESTADO,ESTADO
9,PUERTO PIRITU,23,PEÑALVER,19,ANZOATEGUI
89,CLARINES,11,BRUZUAL,19,ANZOATEGUI
90,ONOTO,12,CAJIGAL,19,ANZOATEGUI
91,VALLE DE GUANAPE,13,CARVAJAL,19,ANZOATEGUI
92,SAN JOSE DE GUANIPA,15,GUANIPA,19,ANZOATEGUI
93,GUANTA,16,GUANTA,19,ANZOATEGUI
94,SOLEDAD,17,INDEPENDENCIA,19,ANZOATEGUI
95,SAN MATEO,18,LIBERTAD,19,ANZOATEGUI
96,ARAGUA DE BARCELONA,9,ARAGUA DE BARCELONA,19,ANZOATEGUI
97,LECHERIAS,19,LIC. DIEGO BAUTISTA URBANEJA,19,ANZOATEGUI
99,EL CHAPARRO,20,MCGREGOR,19,ANZOATEGUI
100,SAN DIEGO DE CABRUTICA,22,MONAGAS,19,ANZOATEGUI
101,PIRITU,24,PIRITU,19,ANZOATEGUI
102,SANTA ANA,26,SANTA ANA,19,ANZOATEGUI
335,PARIAGUAN,21,MIRANDA,19,ANZOATEGUI
336,BOCA DE UCHIRE,25,SAN JUAN DE CAPISTRANO,19,ANZOATEGUI
385,SAN JOAQUIN,8,ANACO,19,ANZOATEGUI
386,CACHIPO,9,ARAGUA DE BARCELONA,19,ANZOATEGUI
387,SAN MIGUEL,23,PEÑALVER,19,ANZOATEGUI
388,EL HATILLO,23,PEÑALVER,19,ANZOATEGUI
389,SANTA BARBARA,13,CARVAJAL,19,ANZOATEGUI
390,ATAPIRE,21,MIRANDA,19,ANZOATEGUI
391,BOCA DEL PAO,21,MIRANDA,19,ANZOATEGUI
392,EL PAO DE BARCELONA,21,MIRANDA,19,ANZOATEGUI
393,MUCURA,21,MIRANDA,19,ANZOATEGUI
394,PERTIGALETE,16,GUANTA,19,ANZOATEGUI
395,CARAPA,17,INDEPENDENCIA,19,ANZOATEGUI
396,POZUELOS,28,SOTILLO,19,ANZOATEGUI
397,SAN PABLO,12,CAJIGAL,19,ANZOATEGUI
398,SANTA CRUZ DE ORINOCO,22,MONAGAS,19,ANZOATEGUI
399,UVERITO,22,MONAGAS,19,ANZOATEGUI
401,ZUATA,22,MONAGAS,19,ANZOATEGUI
402,EL CARITO,18,LIBERTAD,19,ANZOATEGUI
403,SANTA INES,18,LIBERTAD,19,ANZOATEGUI
404,GUANAPE,11,BRUZUAL,19,ANZOATEGUI
405,SABANA DE UCHIRE,11,BRUZUAL,19,ANZOATEGUI
406,MUNDO NUEVO,14,FREITES,19,ANZOATEGUI
407,SANTA ROSA,14,FREITES,19,ANZOATEGUI
408,URICA,14,FREITES,19,ANZOATEGUI
409,SAN FRANCISCO,24,PIRITU,19,ANZOATEGUI
410,BOCA DE CHAVEZ,25,SAN JUAN DE CAPISTRANO,19,ANZOATEGUI
411,PUEBLO NUEVO,26,SANTA ANA,19,ANZOATEGUI
412,BERGATIN,10,BOLIVAR,19,ANZOATEGUI
413,CAIGUA,10,BOLIVAR,19,ANZOATEGUI
414,EL PILAR,10,BOLIVAR,19,ANZOATEGUI
415,NARICUAL,10,BOLIVAR,19,ANZOATEGUI
416,JOSE GREGORIO MONAGAS,20,MCGREGOR,19,ANZOATEGUI
1029,CIUDAD SIN ASIGNAR DE MUNICIPIO ANACO,8,ANACO,19,ANZOATEGUI
1030,CIUDAD SIN ASIGNAR DE MUNICIPIO ARAGUA DE BARCELON,9,ARAGUA DE BARCELONA,19,ANZOATEGUI
1031,CIUDAD SIN ASIGNAR DE MUNICIPIO BOLIVAR,10,BOLIVAR,19,ANZOATEGUI
1032,CIUDAD SIN ASIGNAR DE MUNICIPIO BRUZUAL,11,BRUZUAL,19,ANZOATEGUI
1033,CIUDAD SIN ASIGNAR DE MUNICIPIO CAJIGAL,12,CAJIGAL,19,ANZOATEGUI
1034,CIUDAD SIN ASIGNAR DE MUNICIPIO CARVAJAL,13,CARVAJAL,19,ANZOATEGUI
1035,CIUDAD SIN ASIGNAR DE MUNICIPIO FREITES,14,FREITES,19,ANZOATEGUI
1036,CIUDAD SIN ASIGNAR DE MUNICIPIO GUANIPA,15,GUANIPA,19,ANZOATEGUI
1037,CIUDAD SIN ASIGNAR DE MUNICIPIO GUANTA,16,GUANTA,19,ANZOATEGUI
1038,CIUDAD SIN ASIGNAR DE MUNICIPIO INDEPENDENCIA,17,INDEPENDENCIA,19,ANZOATEGUI
1039,CIUDAD SIN ASIGNAR DE MUNICIPIO LIBERTAD,18,LIBERTAD,19,ANZOATEGUI
1040,CIUDAD SIN ASIGNAR DE MUNICIPIO LIC. DIEGO BAUTIST,19,LIC. DIEGO BAUTISTA URBANEJA,19,ANZOATEGUI
1041,CIUDAD SIN ASIGNAR DE MUNICIPIO MCGREGOR,20,MCGREGOR,19,ANZOATEGUI
1042,CIUDAD SIN ASIGNAR DE MUNICIPIO MIRANDA,21,MIRANDA,19,ANZOATEGUI
1043,CIUDAD SIN ASIGNAR DE MUNICIPIO MONAGAS,22,MONAGAS,19,ANZOATEGUI
1044,CIUDAD SIN ASIGNAR DE MUNICIPIO PEÑALVER,23,PEÑALVER,19,ANZOATEGUI
1045,CIUDAD SIN ASIGNAR DE MUNICIPIO PIRITU,24,PIRITU,19,ANZOATEGUI
1046,CIUDAD SIN ASIGNAR DE MUNICIPIO SAN JUAN DE CAPIST,25,SAN JUAN DE CAPISTRANO,19,ANZOATEGUI
1047,CIUDAD SIN ASIGNAR DE MUNICIPIO SANTA ANA,26,SANTA ANA,19,ANZOATEGUI
1048,CIUDAD SIN ASIGNAR DE MUNICIPIO SIMON RODRIGUEZ,27,SIMON RODRIGUEZ,19,ANZOATEGUI
1049,CIUDAD SIN ASIGNAR DE MUNICIPIO SOTILLO,28,SOTILLO,19,ANZOATEGUI
1359,CIUDAD SIN ASIGNAR DE ESTADO ANZOATEGUI,355,MUNICIPIO SIN ASIGNAR DE ANZOATEGUI,19,ANZOATEGUI
58,SAN FERNANDO,35,SAN FERNANDO,7,APURE
59,GUASDUALITO,32,PAEZ,7,APURE
103,ACHAGUAS,29,ACHAGUAS,7,APURE
104,BIRUACA,30,BIRUACA,7,APURE
105,BRUZUAL,31,MUÑOS,7,APURE
107,SAN JUAN DE PAYARA,33,PEDRO CAMEJO,7,APURE
108,ELORZA,34,ROMULO GALLEGOS,7,APURE
149,EL AMPARO,32,PAEZ,7,APURE
151,LA VICTORIA,32,PAEZ,7,APURE
152,PUERTO PAEZ,33,PEDRO CAMEJO,7,APURE
417,APURITO,29,ACHAGUAS,7,APURE
418,EL YAGUAL,29,ACHAGUAS,7,APURE
419,GUACHARA,29,ACHAGUAS,7,APURE
420,EL SAMAN DE APURE,29,ACHAGUAS,7,APURE
421,GUASIMAL,29,ACHAGUAS,7,APURE
422,MANTECAL,31,MUÑOS,7,APURE
423,QUINTERO,31,MUÑOS,7,APURE
424,LA ESTACADA,31,MUÑOS,7,APURE
425,SAN VICENTE,31,MUÑOS,7,APURE
426,PALMARITO,32,PAEZ,7,APURE
428,EL NULA,32,PAEZ,7,APURE
430,SAN MIGUEL DE CUNAVICHE,33,PEDRO CAMEJO,7,APURE
431,LA TRINIDAD DE ORICHUNA,34,ROMULO GALLEGOS,7,APURE
432,EL RECREO,35,SAN FERNANDO,7,APURE
433,ARICHUNA,35,SAN FERNANDO,7,APURE
434,SAN RAFAEL DE ATAMAICA,35,SAN FERNANDO,7,APURE
1050,CIUDAD SIN ASIGNAR DE MUNICIPIO ACHAGUAS,29,ACHAGUAS,7,APURE
1051,CIUDAD SIN ASIGNAR DE MUNICIPIO BIRUACA,30,BIRUACA,7,APURE
1052,CIUDAD SIN ASIGNAR DE MUNICIPIO MUÑOS,31,MUÑOS,7,APURE
1053,CIUDAD SIN ASIGNAR DE MUNICIPIO PAEZ,32,PAEZ,7,APURE
1054,CIUDAD SIN ASIGNAR DE MUNICIPIO PEDRO CAMEJO,33,PEDRO CAMEJO,7,APURE
1055,CIUDAD SIN ASIGNAR DE MUNICIPIO ROMULO GALLEGOS,34,ROMULO GALLEGOS,7,APURE
1056,CIUDAD SIN ASIGNAR DE MUNICIPIO SAN FERNANDO,35,SAN FERNANDO,7,APURE
1360,CIUDAD SIN ASIGNAR DE ESTADO APURE,343,MUNICIPIO SIN ASIGNAR DE APURE,7,APURE
10,CAGUA,50,SUCRE,12,ARAGUA
11,COLONIA TOVAR,51,TOVAR,12,ARAGUA
12,LA VICTORIA,41,JOSE FELIX RIVAS,12,ARAGUA
13,MARACAY,39,GIRARDOT,12,ARAGUA
14,SAN MATEO,36,BOLIVAR,12,ARAGUA
15,SANTA CRUZ,40,JOSE ANGEL LAMAS,12,ARAGUA
65,TURMERO,48,SANTIAGO MARIÑO,12,ARAGUA
109,SAN CASIMIRO,46,SAN CASIMIRO,12,ARAGUA
110,SAN SEBASTIAN,47,SAN SEBASTIAN,12,ARAGUA
111,LAS TEJERIAS,49,SANTOS MICHELENA,12,ARAGUA
112,BARBACOAS,52,URDANETA,12,ARAGUA
113,VILLA DE CURA,53,ZAMORA,12,ARAGUA
114,CAMATAGUA,37,CAMATAGUA,12,ARAGUA
115,SANTA RITA,38,FRANCISCO LINARES ALCANTARA,12,ARAGUA
116,EL CONSEJO,42,JOSE RAFAEL REVENGA,12,ARAGUA
117,PALO NEGRO,43,LIBERTADOR,12,ARAGUA
118,EL LIMON,44,MARIO BRICEÑO IRAGORRY,12,ARAGUA
119,OCUMARE DE LA COSTA,45,OCUMARE DE LA COSTA DE ORO,12,ARAGUA
435,CARMEN DE CURA,37,CAMATAGUA,12,ARAGUA
436,CHORONI,39,GIRARDOT,12,ARAGUA
437,LAS MERCEDES,41,JOSE FELIX RIVAS,12,ARAGUA
438,LAS GUACAMAYAS,41,JOSE FELIX RIVAS,12,ARAGUA
439,PAO DE ZARATE,41,JOSE FELIX RIVAS,12,ARAGUA
440,ZUATA,41,JOSE FELIX RIVAS,12,ARAGUA
441,LA PICA,43,LIBERTADOR,12,ARAGUA
442,CAÑA DE AZUCAR,44,MARIO BRICEÑO IRAGORRY,12,ARAGUA
443,GUIRIPA,46,SAN CASIMIRO,12,ARAGUA
444,OLLAS DE CARAMACATE,46,SAN CASIMIRO,12,ARAGUA
445,VALLE MORIN,46,SAN CASIMIRO,12,ARAGUA
446,ROSARIO DE PAYA,48,SANTIAGO MARIÑO,12,ARAGUA
447,CHUAO,48,SANTIAGO MARIÑO,12,ARAGUA
448,19 DE abril,48,SANTIAGO MARIÑO,12,ARAGUA
449,SAN JOAQUIN,48,SANTIAGO MARIÑO,12,ARAGUA
450,TIARA,49,SANTOS MICHELENA,12,ARAGUA
451,BELLA VISTA,50,SUCRE,12,ARAGUA
452,LAS PEÑITAS,52,URDANETA,12,ARAGUA
453,SAN FRANCISCO DE CARA,52,URDANETA,12,ARAGUA
454,TAGUAY,52,URDANETA,12,ARAGUA
455,MAGDALENO,53,ZAMORA,12,ARAGUA
456,SAN FRANCISCO DE ASIS,53,ZAMORA,12,ARAGUA
457,LOS BAGRES,53,ZAMORA,12,ARAGUA
458,TOCORON,53,ZAMORA,12,ARAGUA
459,FRANCISCO DE MIRANDA,38,FRANCISCO LINARES ALCANTARA,12,ARAGUA
460,PARAPARAL,38,FRANCISCO LINARES ALCANTARA,12,ARAGUA
1057,CIUDAD SIN ASIGNAR DE MUNICIPIO BOLIVAR,36,BOLIVAR,12,ARAGUA
1058,CIUDAD SIN ASIGNAR DE MUNICIPIO CAMATAGUA,37,CAMATAGUA,12,ARAGUA
1059,CIUDAD SIN ASIGNAR DE MUNICIPIO FRANCISCO,38,FRANCISCO LINARES ALCANTARA,12,ARAGUA
1060,CIUDAD SIN ASIGNAR DE MUNICIPIO GIRARDOT,39,GIRARDOT,12,ARAGUA
1061,CIUDAD SIN ASIGNAR DE MUNICIPIO JOSE ANGEL LAMAS,40,JOSE ANGEL LAMAS,12,ARAGUA
1062,CIUDAD SIN ASIGNAR DE MUNICIPIO JOSE FELIX RIBAS,41,JOSE FELIX RIVAS,12,ARAGUA
1063,CIUDAD SIN ASIGNAR DE MUNICIPIO JOSE RAFAEL REVENG,42,JOSE RAFAEL REVENGA,12,ARAGUA
1064,CIUDAD SIN ASIGNAR DE MUNICIPIO LIBERTADOR,43,LIBERTADOR,12,ARAGUA
1065,CIUDAD SIN ASIGNAR DE MUNICIPIO MARIO BRICEÑO IRAG,44,MARIO BRICEÑO IRAGORRY,12,ARAGUA
1066,CIUDAD SIN ASIGNAR DE MUNICIPIO OCUMARE DE LA COST,45,OCUMARE DE LA COSTA DE ORO,12,ARAGUA
1067,CIUDAD SIN ASIGNAR DE MUNICIPIO SAN CASIMIRO,46,SAN CASIMIRO,12,ARAGUA
1068,CIUDAD SIN ASIGNAR DE MUNICIPIO SAN SEBASTIAN,47,SAN SEBASTIAN,12,ARAGUA
1069,CIUDAD SIN ASIGNAR DE MUNICIPIO SANTIAGO MARIÑO,48,SANTIAGO MARIÑO,12,ARAGUA
1070,CIUDAD SIN ASIGNAR DE MUNICIPIO SANTOS MICHELENA,49,SANTOS MICHELENA,12,ARAGUA
1071,CIUDAD SIN ASIGNAR DE MUNICIPIO SUCRE,50,SUCRE,12,ARAGUA
1072,CIUDAD SIN ASIGNAR DE MUNICIPIO TOVAR,51,TOVAR,12,ARAGUA
1073,CIUDAD SIN ASIGNAR DE MUNICIPIO URDANETA,52,URDANETA,12,ARAGUA
1074,CIUDAD SIN ASIGNAR DE MUNICIPIO ZAMORA,53,ZAMORA,12,ARAGUA
1361,CIUDAD SIN ASIGNAR DE ESTADO ARAGUA,348,MUNICIPIO SIN ASIGNAR DE ARAGUA,12,ARAGUA
16,BARINAS,58,BARINAS,14,BARINAS
66,BARINITAS,59,BOLIVAR,14,BARINAS
120,SABANETA,54,ALBERTO ARVELO TORREALBA,14,BARINAS
121,EL CANTON,55,ANDRES ELOY BLANCO,14,BARINAS
122,ARISMENDI,57,ARISMENDI,14,BARINAS
123,BARRANCAS,60,CRUZ PAREDES,14,BARINAS
124,SANTA BARBARA,61,EZEQUIEL ZAMORA,14,BARINAS
125,OBISPOS,62,OBISPOS,14,BARINAS
126,CIUDAD BOLIVIA,63,PEDRAZA,14,BARINAS
127,LIBERTAD,64,ROJAS,14,BARINAS
128,CIUDAD DE NUTRIAS,65,SOSA,14,BARINAS
337,SOCOPO,56,ANTONIO JOSE DE SUCRE,14,BARINAS
461,VEGUITAS,54,ALBERTO ARVELO TORREALBA,14,BARINAS
462,BUM-BUM,56,ANTONIO JOSE DE SUCRE,14,BARINAS
463,CHAMETA,56,ANTONIO JOSE DE SUCRE,14,BARINAS
464,GUADARRAMA,57,ARISMENDI,14,BARINAS
465,LA UNION,57,ARISMENDI,14,BARINAS
466,SAN ANTONIO,57,ARISMENDI,14,BARINAS
467,QUEBRADA SECA,58,BARINAS,14,BARINAS
468,SAN SILVESTRE,58,BARINAS,14,BARINAS
469,SANTA INES,58,BARINAS,14,BARINAS
470,SANTA LUCIA,58,BARINAS,14,BARINAS
471,TORUNOS,58,BARINAS,14,BARINAS
472,LA CARAMUCA,58,BARINAS,14,BARINAS
473,EL COROZO,58,BARINAS,14,BARINAS
474,LA MULA,58,BARINAS,14,BARINAS
475,ALTAMIRA,59,BOLIVAR,14,BARINAS
476,CALDERAS,59,BOLIVAR,14,BARINAS
477,LA YUCA,60,CRUZ PAREDES,14,BARINAS
478,MASPARRITO,60,CRUZ PAREDES,14,BARINAS
479,PEDRAZA LA VIEJA,61,EZEQUIEL ZAMORA,14,BARINAS
480,CAPITANEJO,61,EZEQUIEL ZAMORA,14,BARINAS
481,PUNTA DE PIEDRA,61,EZEQUIEL ZAMORA,14,BARINAS
482,EL REAL,62,OBISPOS,14,BARINAS
483,LA LUZ,62,OBISPOS,14,BARINAS
484,LOS GUASIMITOS,62,OBISPOS,14,BARINAS
485,MAPORAL,63,PEDRAZA,14,BARINAS
486,CURBATI,63,PEDRAZA,14,BARINAS
487,SAN RAFAEL DE CANAGUA,63,PEDRAZA,14,BARINAS
488,DOLORES,64,ROJAS,14,BARINAS
489,MAJAGUAL,64,ROJAS,14,BARINAS
490,SANTA ROSA,64,ROJAS,14,BARINAS
491,EL REGALO,65,SOSA,14,BARINAS
492,PUERTO DE NUTRIAS,65,SOSA,14,BARINAS
493,SANTA CATALINA,65,SOSA,14,BARINAS
494,SANTA CRUZ DE GUACAS,55,ANDRES ELOY BLANCO,14,BARINAS
495,PUERTO VIVAS,55,ANDRES ELOY BLANCO,14,BARINAS
1075,CIUDAD SIN ASIGNAR DE MUNICIPIO ALBERTO ARVELO TOR,54,ALBERTO ARVELO TORREALBA,14,BARINAS
1076,CIUDAD SIN ASIGNAR DE MUNICIPIO ANDRES ELOY BLANCO,55,ANDRES ELOY BLANCO,14,BARINAS
1077,CIUDAD SIN ASIGNAR DE MUNICIPIO ANTONIO JOSE DE SU,56,ANTONIO JOSE DE SUCRE,14,BARINAS
1078,CIUDAD SIN ASIGNAR DE MUNICIPIO ARISMENDI,57,ARISMENDI,14,BARINAS
1079,CIUDAD SIN ASIGNAR DE MUNICIPIO BARINAS,58,BARINAS,14,BARINAS
1080,CIUDAD SIN ASIGNAR DE MUNICIPIO BOLIVAR,59,BOLIVAR,14,BARINAS
1081,CIUDAD SIN ASIGNAR DE MUNICIPIO CRUZ PAREDES,60,CRUZ PAREDES,14,BARINAS
1082,CIUDAD SIN ASIGNAR DE MUNICIPIO EZEQUIEL ZAMORA,61,EZEQUIEL ZAMORA,14,BARINAS
1083,CIUDAD SIN ASIGNAR DE MUNICIPIO OBISPOS,62,OBISPOS,14,BARINAS
1084,CIUDAD SIN ASIGNAR DE MUNICIPIO PEDRAZA,63,PEDRAZA,14,BARINAS
1085,CIUDAD SIN ASIGNAR DE MUNICIPIO ROJAS,64,ROJAS,14,BARINAS
1086,CIUDAD SIN ASIGNAR DE MUNICIPIO SOSA,65,SOSA,14,BARINAS
1362,CIUDAD SIN ASIGNAR DE ESTADO BARINAS,350,MUNICIPIO SIN ASIGNAR DE BARINAS,14,BARINAS
17,CIUDAD BOLIVAR,70,HERES,24,BOLIVAR
18,CIUDAD GUAYANA / PUERTO ORDAZ,66,CARONI,24,BOLIVAR
20,SANTA ELENA DE UAIREN,69,GRAN SABANA,24,BOLIVAR
67,UPATA,72,PIAR,24,BOLIVAR
129,CAICARA DEL ORINOCO,67,CEDEÑO,24,BOLIVAR
130,EL CALLAO,68,EL CALLAO,24,BOLIVAR
131,EL PALMAR,71,PADRE PEDRO CHIEN,24,BOLIVAR
132,CIUDAD PIAR,73,RAUL LEONI,24,BOLIVAR
133,GUASIPATI,74,ROSCIO,24,BOLIVAR
134,TUMEREMO,75,SIFONTES,24,BOLIVAR
135,MARIPA,76,SUCRE,24,BOLIVAR
496,POZO VERDE,66,CARONI,24,BOLIVAR
497,EL ROSARIO,66,CARONI,24,BOLIVAR
498,LAS BONITAS,67,CEDEÑO,24,BOLIVAR
499,SANTA ROSALIA,67,CEDEÑO,24,BOLIVAR
500,EL MILAGRO,67,CEDEÑO,24,BOLIVAR
501,LA URBANA,67,CEDEÑO,24,BOLIVAR
502,MORICHALITO,67,CEDEÑO,24,BOLIVAR
503,IKABARU,69,GRAN SABANA,24,BOLIVAR
504,ALMACEN,70,HERES,24,BOLIVAR
505,SAN JOSE DE BONGO,70,HERES,24,BOLIVAR
506,LA CAROLINA,70,HERES,24,BOLIVAR
507,EL PAO DE EL HIERRO,72,PIAR,24,BOLIVAR
508,EL MANTECO,72,PIAR,24,BOLIVAR
509,LA PARAGUA,73,RAUL LEONI,24,BOLIVAR
510,SAN FRANCISCO,73,RAUL LEONI,24,BOLIVAR
511,SANTA BARBARA DEL CENTURION,73,RAUL LEONI,24,BOLIVAR
512,EL MIAMO,74,ROSCIO,24,BOLIVAR
513,EL DORADO,75,SIFONTES,24,BOLIVAR
514,LAS CLARITAS,75,SIFONTES,24,BOLIVAR
515,ARIPAO,76,SUCRE,24,BOLIVAR
516,GUARATARO,76,SUCRE,24,BOLIVAR
517,LAS MAJADAS,76,SUCRE,24,BOLIVAR
518,MOITACO,76,SUCRE,24,BOLIVAR
585,SAN FELIX,66,CARONI,24,BOLIVAR
1087,CIUDAD SIN ASIGNAR DE MUNICIPIO CARONI,66,CARONI,24,BOLIVAR
1088,CIUDAD SIN ASIGNAR DE MUNICIPIO CEDEÑO,67,CEDEÑO,24,BOLIVAR
1089,CIUDAD SIN ASIGNAR DE MUNICIPIO EL CALLAO,68,EL CALLAO,24,BOLIVAR
1090,CIUDAD SIN ASIGNAR DE MUNICIPIO GRAN SABANA,69,GRAN SABANA,24,BOLIVAR
1091,CIUDAD SIN ASIGNAR DE MUNICIPIO HERES,70,HERES,24,BOLIVAR
1092,CIUDAD SIN ASIGNAR DE MUNICIPIO PADRE PEDRO CHIEN,71,PADRE PEDRO CHIEN,24,BOLIVAR
1093,CIUDAD SIN ASIGNAR DE MUNICIPIO PIAR,72,PIAR,24,BOLIVAR
1094,CIUDAD SIN ASIGNAR DE MUNICIPIO RAUL LEONI,73,RAUL LEONI,24,BOLIVAR
1095,CIUDAD SIN ASIGNAR DE MUNICIPIO ROSCIO,74,ROSCIO,24,BOLIVAR
1096,CIUDAD SIN ASIGNAR DE MUNICIPIO SIFONTES,75,SIFONTES,24,BOLIVAR
1097,CIUDAD SIN ASIGNAR DE MUNICIPIO SUCRE,76,SUCRE,24,BOLIVAR
1363,CIUDAD SIN ASIGNAR DE ESTADO BOLIVAR,360,MUNICIPIO SIN ASIGNAR DE BOLIVAR,24,BOLIVAR
21,BEJUMA,77,BEJUMA,13,CARABOBO
22,GUACARA,80,GUACARA,13,CARABOBO
23,NAGUANAGUA,86,NAGUANAGUA,13,CARABOBO
24,PUERTO CABELLO,87,PUERTO CABELLO,13,CARABOBO
25,SAN JOAQUIN,89,SAN JOAQUIN,13,CARABOBO
26,VALENCIA,90,VALENCIA,13,CARABOBO
136,GUIGUE,78,CARLOS ARVELO,13,CARABOBO
137,MARIARA,79,DIAGO IBARRA,13,CARABOBO
138,MORON,81,JUAN JOSE MORA,13,CARABOBO
139,TOCUYITO,82,LIBERTADOR,13,CARABOBO
140,LOS GUAYOS,83,LOS GUAYOS,13,CARABOBO
141,MIRANDA,84,MIRANDA,13,CARABOBO
142,MONTALBAN,85,MONTALBAN,13,CARABOBO
143,SAN DIEGO,88,SAN DIEGO,13,CARABOBO
147,TACARIGUA,78,CARLOS ARVELO,13,CARABOBO
148,YAGUA,80,GUACARA,13,CARABOBO
519,CABOABO,77,BEJUMA,13,CARABOBO
520,CHIRGUA,77,BEJUMA,13,CARABOBO
521,BELEN,78,CARLOS ARVELO,13,CARABOBO
523,URAMA,81,JUAN JOSE MORA,13,CARABOBO
524,BORBURATA,87,PUERTO CABELLO,13,CARABOBO
525,PATANEMO,87,PUERTO CABELLO,13,CARABOBO
526,LOS NARANJOS,90,VALENCIA,13,CARABOBO
1098,CIUDAD SIN ASIGNAR DE MUNICIPIO BEJUMA,77,BEJUMA,13,CARABOBO
1099,CIUDAD SIN ASIGNAR DE MUNICIPIO CARLOS ARVELO,78,CARLOS ARVELO,13,CARABOBO
1100,CIUDAD SIN ASIGNAR DE MUNICIPIO DIAGO IBARRA,79,DIAGO IBARRA,13,CARABOBO
1101,CIUDAD SIN ASIGNAR DE MUNICIPIO GUACARA,80,GUACARA,13,CARABOBO
1102,CIUDAD SIN ASIGNAR DE MUNICIPIO JUAN JOSE MORA,81,JUAN JOSE MORA,13,CARABOBO
1103,CIUDAD SIN ASIGNAR DE MUNICIPIO LIBERTADOR,82,LIBERTADOR,13,CARABOBO
1104,CIUDAD SIN ASIGNAR DE MUNICIPIO LOS GUAYOS,83,LOS GUAYOS,13,CARABOBO
1105,CIUDAD SIN ASIGNAR DE MUNICIPIO MIRANDA,84,MIRANDA,13,CARABOBO
1106,CIUDAD SIN ASIGNAR DE MUNICIPIO MONTALBAN,85,MONTALBAN,13,CARABOBO
1107,CIUDAD SIN ASIGNAR DE MUNICIPIO NAGUANAGUA,86,NAGUANAGUA,13,CARABOBO
1108,CIUDAD SIN ASIGNAR DE MUNICIPIO PUERTO CABELLO,87,PUERTO CABELLO,13,CARABOBO
1109,CIUDAD SIN ASIGNAR DE MUNICIPIO SAN DIEGO,88,SAN DIEGO,13,CARABOBO
1110,CIUDAD SIN ASIGNAR DE MUNICIPIO SAN JOAQUIN,89,SAN JOAQUIN,13,CARABOBO
1111,CIUDAD SIN ASIGNAR DE MUNICIPIO VALENCIA,90,VALENCIA,13,CARABOBO
1364,CIUDAD SIN ASIGNAR DE ESTADO CARABOBO,349,MUNICIPIO SIN ASIGNAR DE CARABOBO,13,CARABOBO
56,SAN CARLOS,98,SAN CARLOS DE AUSTRIA,5,COJEDES
